Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,23,OKC,38,0,14.2,1.8,4.6,.385,1.2,3.3,.368,0.6,1.3,.429,.517,0.8,0.9,.853,0.3,0.9,1.2,0.5,0.4,0.1,0.6,1.5,5.5
2,Quincy Acy\acyqu01,PF,26,TOT,13,0,9.8,1.6,3.4,.477,0.7,1.5,.450,0.9,1.8,.500,.580,1.0,1.2,.813,0.7,1.5,2.2,0.2,0.2,0.2,0.4,1.4,4.9
2,Quincy Acy\acyqu01,PF,26,DAL,6,0,8.0,0.8,2.8,.294,0.2,1.2,.143,0.7,1.7,.400,.324,0.3,0.5,.667,0.3,1.0,1.3,0.0,0.0,0.0,0.3,1.5,2.2
2,Quincy Acy\acyqu01,PF,26,BRK,7,0,11.3,2.3,3.9,.593,1.1,1.9,.615,1.1,2.0,.571,.741,1.6,1.9,.846,1.0,1.9,2.9,0.3,0.4,0.4,0.4,1.3,7.3
3,Steven Adams\adamsst01,C,23,OKC,43,43,30.1,4.9,8.3,.591,0.0,0.0,.000,4.9,8.3,.592,.591,2.1,3.0,.711,2.9,4.6,7.5,1.1,1.2,1.1,1.9,2.4,12.0
4,Arron Afflalo\afflaar01,SG,31,SAC,37,22,23.9,2.7,6.3,.423,0.9,2.3,.381,1.8,4.1,.447,.491,1.2,1.4,.920,0.2,1.7,1.9,1.1,0.4,0.1,0.6,1.6,7.5
5,Alexis Ajinca\ajincal01,C,28,NOP,21,10,14.1,1.9,4.1,.465,0.0,0.1,.000,1.9,4.0,.482,.465,0.5,0.7,.714,1.0,3.3,4.3,0.3,0.4,0.7,0.8,1.7,4.3
6,Cole Aldrich\aldrico01,C,28,MIN,39,0,10.6,0.9,1.7,.523,0.0,0.0,,0.9,1.7,.523,.523,0.4,0.5,.667,1.1,2.2,3.3,0.6,0.5,0.5,0.3,1.6,2.1
7,LaMarcus Aldridge\aldrila01,PF,31,SAS,40,40,32.3,7.0,13.9,.504,0.4,0.8,.484,6.6,13.1,.505,.517,3.2,3.8,.824,2.3,4.8,7.1,2.3,0.6,1.1,1.4,2.3,17.5
8,Lavoy Allen\allenla01,PF,27,IND,32,0,11.6,0.6,1.8,.322,0.0,0.0,.000,0.6,1.8,.328,.322,0.1,0.2,.667,1.0,1.3,2.3,0.9,0.3,0.3,0.3,1.0,1.3
9,Tony Allen\allento01,SG,35,MEM,39,37,28.0,4.0,8.5,.473,0.2,0.6,.250,3.9,7.9,.490,.482,1.4,2.2,.647,2.5,3.1,5.6,1.3,1.8,0.4,1.6,2.7,9.6
10,Al-Farouq Aminu\aminual01,SF,26,POR,28,23,28.1,2.6,7.4,.356,0.9,3.3,.261,1.8,4.1,.431,.413,1.3,1.8,.700,1.2,5.9,7.1,2.1,1.0,0.6,1.4,1.8,7.4
11,Chris Andersen\anderch01,C,38,CLE,12,0,9.5,0.8,1.8,.409,0.0,0.3,.000,0.8,1.6,.474,.409,0.8,1.2,.714,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3
12,Alan Anderson\anderal01,SF,34,LAC,17,0,11.4,1.1,3.2,.345,0.5,1.6,.321,0.6,1.6,.370,.427,0.4,0.6,.700,0.2,0.8,0.9,0.5,0.1,0.0,0.3,1.3,3.2
13,Justin Anderson\anderju01,SF,23,DAL,40,2,15.1,2.3,5.8,.398,0.8,2.5,.316,1.5,3.3,.459,.465,1.5,1.8,.795,0.9,2.3,3.2,0.6,0.6,0.4,0.9,1.4,6.8
14,Kyle Anderson\anderky01,SG,23,SAS,39,10,13.1,1.1,2.3,.461,0.2,0.5,.421,0.8,1.8,.471,.506,0.5,0.6,.818,0.4,2.1,2.5,0.9,0.7,0.4,0.4,0.8,2.8
15,Ryan Anderson\anderry01,PF,28,HOU,45,45,30.2,4.6,10.8,.425,2.7,6.7,.403,1.9,4.1,.462,.550,1.8,2.0,.899,1.6,3.4,5.0,0.9,0.5,0.2,0.9,1.9,13.7
16,Giannis Antetokounmpo\antetgi01,SG,22,MIL,43,43,34.9,8.6,16.2,.533,0.7,2.5,.299,7.9,13.7,.576,.556,5.7,7.2,.787,2.0,6.8,8.8,5.4,1.8,2.0,3.0,3.4,23.7
17,Carmelo Anthony\anthoca01,SF,32,NYK,45,45,33.4,8.0,18.4,.435,2.1,5.6,.371,5.9,12.8,.463,.491,4.5,5.4,.838,0.8,5.2,6.0,3.1,0.9,0.4,1.8,2.7,22.6
18,Joel Anthony\anthojo01,C,34,SAS,1,0,5.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Trevor Ariza\arizatr01,SF,31,HOU,48,48,34.6,4.4,10.3,.428,2.6,7.2,.369,1.8,3.1,.564,.557,0.9,1.3,.698,0.7,4.7,5.4,2.2,1.9,0.3,0.9,1.7,12.4
20,Darrell Arthur\arthuda01,PF,28,DEN,19,5,15.1,2.4,4.9,.484,1.3,2.6,.480,1.1,2.3,.488,.613,0.2,0.2,1.000,0.4,1.7,2.2,1.1,0.3,0.5,1.1,2.1,6.2
21,Omer Asik\asikom01,C,30,NOP,29,19,16.3,1.1,2.2,.477,0.0,0.0,,1.1,2.2,.477,.477,0.8,1.3,.590,1.7,3.9,5.6,0.5,0.2,0.3,0.4,1.6,2.9
22,D.J. Augustin\augusdj01,PG,29,ORL,46,20,20.3,2.8,7.2,.394,1.4,4.0,.363,1.4,3.2,.432,.494,1.5,1.8,.864,0.1,1.3,1.4,3.2,0.4,0.0,1.1,1.4,8.6
23,Luke Babbitt\babbilu01,SF,27,MIA,36,23,16.1,1.6,4.4,.371,1.1,2.9,.365,0.6,1.5,.382,.491,0.3,0.4,.692,0.2,2.0,2.2,0.4,0.3,0.2,0.3,1.5,4.6
24,Ron Baker\bakerro01,SG,23,NYK,20,3,11.7,1.3,3.4,.388,0.5,1.6,.323,0.8,1.8,.444,.463,0.5,0.6,.750,0.3,1.5,1.8,1.1,0.6,0.2,0.8,1.0,3.6
25,Wade Baldwin\baldwwa01,PG,20,MEM,23,1,13.2,1.1,3.6,.313,0.1,0.8,.111,1.0,2.8,.369,.325,1.2,1.4,.844,0.3,1.1,1.4,2.1,0.6,0.3,1.3,1.2,3.5
26,Leandro Barbosa\barbole01,SG,34,PHO,41,0,12.9,2.4,5.2,.462,0.5,1.2,.440,1.9,4.0,.469,.514,0.3,0.3,.857,0.2,1.2,1.4,1.2,0.5,0.1,0.5,1.0,5.6
27,J.J. Barea\bareajo01,PG,32,DAL,18,5,24.7,4.5,10.7,.422,1.4,4.1,.351,3.1,6.6,.466,.490,1.7,1.8,.939,0.3,2.6,2.9,4.9,0.5,0.1,1.7,0.7,12.2
28,Harrison Barnes\barneha02,PF,24,DAL,44,44,35.8,8.1,17.2,.472,1.0,3.0,.343,7.1,14.2,.500,.503,2.8,3.3,.849,1.3,4.0,5.3,1.5,0.8,0.3,1.3,1.6,20.1
29,Matt Barnes\barnema02,SF,36,SAC,41,12,24.6,2.6,6.9,.377,1.2,3.7,.320,1.4,3.1,.445,.464,0.9,1.2,.706,1.0,3.8,4.7,2.7,0.6,0.3,1.5,2.5,7.2
30,Will Barton\bartowi01,SG,26,DEN,31,17,28.8,4.8,10.7,.453,1.4,3.4,.415,3.4,7.3,.471,.520,2.5,3.4,.760,0.9,3.4,4.4,3.0,0.8,0.4,1.5,1.9,13.6
31,Brandon Bass\bassbr01,PF,31,LAC,30,0,12.2,2.2,3.7,.589,0.0,0.1,.500,2.2,3.7,.591,.594,1.2,1.3,.900,0.8,1.7,2.5,0.6,0.2,0.2,0.7,1.0,5.6
32,Nicolas Batum\batumni01,SG,28,CHO,42,42,34.5,4.9,12.5,.394,1.6,4.9,.322,3.3,7.6,.440,.457,3.4,4.0,.844,0.7,6.6,7.3,5.9,1.1,0.4,2.5,1.6,14.7
33,Jerryd Bayless\bayleje01,PG,28,PHI,3,1,23.7,3.7,10.7,.344,0.7,1.7,.400,3.0,9.0,.333,.375,3.0,3.3,.900,1.0,3.0,4.0,4.3,0.0,0.0,3.0,1.3,11.0
34,Aron Baynes\baynear01,C,30,DET,44,2,15.2,1.6,3.3,.490,0.0,0.0,,1.6,3.3,.490,.490,1.2,1.3,.879,1.0,2.7,3.7,0.3,0.3,0.4,0.8,2.3,4.4
35,Kent Bazemore\bazemke01,SF,27,ATL,43,40,27.0,3.9,10.2,.384,1.2,3.7,.313,2.7,6.5,.424,.441,1.7,2.3,.710,0.6,2.5,3.1,2.6,1.3,0.6,1.7,2.3,10.6
36,Bradley Beal\bealbr01,SG,23,WAS,40,40,34.4,7.5,16.6,.449,2.8,7.1,.386,4.7,9.5,.497,.532,4.0,4.9,.811,0.7,2.2,2.9,3.6,1.0,0.3,1.9,2.2,21.6
37,Malik Beasley\beaslma01,SG,20,DEN,12,0,5.1,1.0,2.8,.364,0.3,1.2,.286,0.7,1.6,.421,.424,0.3,0.5,.667,0.1,0.4,0.5,0.3,0.3,0.0,0.0,0.4,2.7
38,Michael Beasley\beaslmi01,SF,28,MIL,37,0,16.5,3.5,6.9,.514,0.3,0.7,.480,3.2,6.2,.517,.537,1.4,1.8,.761,0.7,2.8,3.6,1.1,0.5,0.4,1.2,1.7,8.8
39,Marco Belinelli\belinma01,SG,30,CHO,40,0,24.6,3.7,8.5,.434,1.6,3.9,.404,2.1,4.6,.459,.527,1.8,2.0,.864,0.2,2.4,2.6,1.9,0.7,0.2,0.9,1.3,10.7
40,DeAndre' Bembry\bembrde01,SF,22,ATL,17,0,7.5,1.1,2.2,.486,0.0,0.4,.000,1.1,1.8,.581,.486,0.4,0.8,.462,0.3,0.9,1.2,0.4,0.1,0.0,0.4,0.4,2.5
41,Dragan Bender\bendedr01,PF,19,PHO,37,0,12.6,1.2,3.2,.373,0.7,2.1,.321,0.5,1.1,.475,.479,0.1,0.2,.375,0.4,1.7,2.1,0.4,0.2,0.5,0.7,1.6,3.1
42,Anthony Bennett\bennean01,PF,23,BRK,23,1,11.5,1.7,4.0,.413,0.6,2.1,.271,1.1,1.9,.568,.484,1.1,1.6,.722,1.1,2.3,3.4,0.5,0.2,0.1,0.5,0.8,5.0
43,Davis Bertans\bertada01,PF,24,SAS,36,1,10.0,1.1,2.4,.455,0.8,1.9,.400,0.3,0.5,.667,.614,0.5,0.6,.818,0.2,0.9,1.1,0.7,0.2,0.4,0.4,1.1,3.5
44,Patrick Beverley\beverpa01,SG,28,HOU,34,34,30.9,3.6,8.1,.449,1.7,4.2,.406,1.9,3.9,.496,.554,0.6,0.8,.778,1.5,4.5,6.0,4.3,1.6,0.4,1.4,3.2,9.6
45,Bismack Biyombo\biyombi01,C,24,ORL,45,23,24.7,2.4,4.5,.525,0.0,0.0,,2.4,4.5,.525,.525,1.6,3.3,.490,2.2,5.6,7.8,1.0,0.4,1.4,1.3,2.4,6.4
46,Nemanja Bjelica\bjeline01,PF,28,MIN,42,1,17.1,2.2,5.2,.416,0.9,2.9,.303,1.3,2.3,.557,.500,0.8,1.0,.814,0.6,2.6,3.2,1.1,0.6,0.2,0.9,2.2,6.0
47,Tarik Black\blackta01,C,25,LAL,36,0,15.6,2.2,4.3,.513,0.0,0.0,.000,2.2,4.3,.516,.513,1.5,2.0,.761,2.2,3.0,5.2,0.6,0.3,0.5,0.7,2.6,5.9
48,Eric Bledsoe\bledser01,PG,27,PHO,44,44,33.2,7.1,15.7,.450,1.5,4.6,.320,5.6,11.1,.504,.497,5.3,6.2,.846,0.9,4.2,5.1,6.2,1.5,0.5,3.1,2.6,20.9
49,Bojan Bogdanovic\bogdabo02,SF,27,BRK,44,43,26.5,4.8,10.9,.439,1.9,5.0,.378,2.9,5.8,.492,.527,2.6,3.0,.869,0.4,2.9,3.3,1.6,0.4,0.1,1.5,1.8,14.0
50,Andrew Bogut\bogutan01,C,32,DAL,22,20,23.5,1.5,3.2,.451,0.0,0.0,.000,1.5,3.2,.457,.451,0.1,0.5,.273,2.3,6.8,9.1,2.0,0.5,1.0,1.7,3.3,3.0
51,Joel Bolomboy\bolomjo01,PF,23,UTA,9,0,2.2,0.3,0.6,.600,0.0,0.1,.000,0.3,0.4,.750,.600,0.2,0.4,.500,0.1,1.0,1.1,0.1,0.1,0.1,0.1,0.1,0.9
52,Devin Booker\bookede01,SG,20,PHO,43,43,34.3,7.4,17.5,.423,1.9,5.1,.367,5.5,12.4,.447,.477,3.9,4.6,.834,0.6,2.3,2.8,3.1,1.0,0.2,2.8,3.2,20.5
53,Trevor Booker\booketr01,PF,29,BRK,40,40,27.0,4.2,8.2,.518,0.4,1.2,.298,3.9,7.0,.556,.540,1.1,1.7,.672,2.1,6.7,8.8,2.3,1.4,0.5,1.8,2.2,9.9
54,Avery Bradley\bradlav01,SG,26,BOS,36,36,34.9,7.1,15.0,.475,2.1,5.2,.409,5.0,9.8,.510,.545,1.3,1.8,.762,1.1,5.8,6.9,2.4,1.3,0.2,1.8,2.7,17.7
55,Corey Brewer\breweco01,SF,30,HOU,48,8,15.6,1.6,4.0,.400,0.4,1.7,.232,1.2,2.3,.528,.450,0.5,0.8,.722,0.4,1.6,2.0,1.0,0.6,0.2,0.6,1.8,4.1
56,Malcolm Brogdon\brogdma01,SG,24,MIL,44,12,25.2,3.5,8.0,.437,1.0,2.4,.425,2.5,5.5,.443,.501,1.3,1.4,.873,0.6,2.2,2.8,4.1,1.1,0.1,1.5,1.9,9.2
57,Aaron Brooks\brookaa01,PG,32,IND,40,0,14.7,2.2,5.1,.424,0.8,2.2,.352,1.4,2.9,.478,.500,0.6,0.7,.786,0.3,0.8,1.1,2.4,0.6,0.2,1.2,1.5,5.6
58,Anthony Brown\brownan02,SF,24,TOT,10,0,14.7,1.5,4.3,.349,0.6,2.4,.250,0.9,1.9,.474,.419,0.0,0.0,,0.8,2.1,2.9,0.6,0.5,0.1,0.5,1.4,3.6
58,Anthony Brown\brownan02,SF,24,NOP,9,0,15.9,1.6,4.6,.341,0.7,2.7,.250,0.9,1.9,.471,.415,0.0,0.0,,0.7,2.2,2.9,0.7,0.6,0.1,0.6,1.4,3.8
58,Anthony Brown\brownan02,SF,24,ORL,1,0,4.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0
59,Bobby Brown\brownbo02,PG,32,HOU,13,0,3.0,0.4,1.7,.227,0.2,0.8,.200,0.2,0.9,.250,.273,0.0,0.0,,0.0,0.4,0.4,0.1,0.0,0.0,0.1,0.2,0.9
60,Jaylen Brown\brownja02,SF,20,BOS,42,3,13.2,1.9,4.3,.436,0.3,1.0,.302,1.6,3.3,.478,.472,0.8,1.2,.694,0.5,1.5,2.0,0.6,0.4,0.3,0.6,1.4,4.9
61,Nicolas Brussino\brussni01,SF,23,DAL,29,0,6.8,0.6,1.5,.364,0.3,1.1,.290,0.2,0.4,.538,.466,0.2,0.2,.857,0.3,0.8,1.1,0.7,0.3,0.1,0.3,0.5,1.6
62,Reggie Bullock\bullore01,SF,25,DET,9,3,19.9,2.7,5.9,.453,0.9,3.0,.296,1.8,2.9,.615,.528,0.2,0.4,.500,0.7,1.9,2.6,1.2,0.4,0.3,0.7,1.3,6.4
63,Trey Burke\burketr01,PG,24,WAS,40,0,12.2,2.0,4.3,.462,0.5,1.1,.465,1.5,3.2,.461,.520,0.4,0.5,.700,0.2,0.6,0.7,1.6,0.2,0.1,0.8,1.0,4.8
64,Alec Burks\burksal01,SG,25,UTA,10,0,10.1,1.7,3.6,.472,0.3,1.2,.250,1.4,2.4,.583,.514,1.4,2.2,.636,0.3,1.2,1.5,0.5,0.2,0.1,0.3,1.2,5.1
65,Jimmy Butler\butleji01,SF,27,CHI,43,43,36.7,7.5,16.6,.454,1.2,3.5,.353,6.3,13.1,.481,.492,8.3,9.6,.871,1.7,5.0,6.6,4.8,1.7,0.3,2.2,1.7,24.7
66,Bruno Caboclo\cabocbr01,SF,21,TOR,8,0,2.9,0.1,0.6,.200,0.1,0.4,.333,0.0,0.3,.000,.300,0.0,0.0,,0.4,0.4,0.8,0.4,0.3,0.0,0.3,0.4,0.4
67,Jose Calderon\caldejo01,PG,35,LAL,21,9,12.3,1.5,3.4,.451,0.6,1.6,.364,1.0,1.8,.526,.535,0.2,0.2,1.000,0.4,1.4,1.8,2.2,0.3,0.0,1.1,0.9,3.8
68,Kentavious Caldwell-Pope\caldwke01,SG,23,DET,41,41,33.6,5.2,12.2,.422,2.2,5.5,.394,3.0,6.7,.446,.511,2.0,2.4,.837,0.8,2.6,3.4,3.0,1.3,0.2,1.2,1.6,14.5
69,Isaiah Canaan\canaais01,SG,25,CHI,28,0,18.5,2.0,5.4,.375,0.8,3.0,.265,1.3,2.5,.507,.447,0.9,1.0,.889,0.2,1.4,1.6,1.1,0.7,0.0,0.7,1.2,5.7
70,Clint Capela\capelca01,C,22,HOU,33,30,23.2,5.2,8.3,.628,0.0,0.0,,5.2,8.3,.628,.628,1.1,2.2,.473,2.4,5.2,7.6,0.9,0.4,1.5,1.2,2.6,11.5
71,DeMarre Carroll\carrode01,SF,30,TOR,39,39,26.5,3.4,8.2,.417,1.8,4.8,.367,1.7,3.4,.489,.525,1.3,1.7,.788,0.8,2.7,3.6,0.8,1.2,0.4,0.6,2.1,10.0
72,Vince Carter\cartevi01,SG,40,MEM,39,0,23.8,2.7,7.0,.392,1.5,4.3,.351,1.2,2.7,.457,.500,1.2,1.7,.708,0.5,2.8,3.3,1.7,0.8,0.4,0.6,2.2,8.2
73,Michael Carter-Williams\cartemi01,PG,25,CHI,18,12,21.8,2.7,7.8,.350,0.4,1.8,.219,2.3,6.0,.389,.375,1.6,1.9,.800,0.8,3.8,4.6,2.4,0.9,0.4,1.8,2.6,7.4
74,Omri Casspi\casspom01,SF,28,SAC,22,2,18.0,2.4,5.3,.453,0.5,1.3,.379,1.9,4.0,.477,.500,0.5,1.0,.571,0.9,3.2,4.1,1.2,0.5,0.0,0.8,1.0,5.9
75,Willie Cauley-Stein\caulewi01,C,23,SAC,37,0,11.2,1.9,3.5,.563,0.0,0.0,.000,1.9,3.4,.567,.563,0.5,1.1,.513,0.9,1.3,2.2,0.3,0.4,0.4,0.5,1.8,4.4
76,Tyson Chandler\chandty01,C,34,PHO,35,34,28.3,3.4,5.1,.663,0.0,0.0,,3.4,5.1,.663,.663,1.7,2.5,.693,3.6,8.6,12.2,0.6,0.6,0.4,1.5,2.7,8.5
77,Wilson Chandler\chandwi01,SF,29,DEN,39,13,30.6,6.4,13.9,.458,1.5,4.5,.343,4.8,9.4,.512,.513,1.9,2.6,.728,1.5,5.4,6.9,1.9,0.7,0.4,1.6,2.3,16.2
78,Marquese Chriss\chrisma01,PF,19,PHO,44,37,18.1,2.8,6.5,.425,0.7,2.3,.310,2.1,4.3,.487,.479,1.0,1.6,.634,1.1,2.3,3.4,0.6,0.6,0.5,1.2,2.9,7.3
79,Rakeem Christmas\chrisra01,PF,25,IND,3,0,4.7,0.3,1.3,.250,0.0,0.0,,0.3,1.3,.250,.250,0.3,0.3,1.000,0.3,0.7,1.0,0.3,0.0,0.3,0.0,0.3,1.0
80,Semaj Christon\chrisse01,PG,24,OKC,36,0,15.4,1.4,4.0,.345,0.2,1.1,.179,1.2,2.9,.406,.369,0.3,0.5,.474,0.3,1.1,1.4,2.5,0.4,0.1,0.7,1.3,3.2
81,Ian Clark\clarkia01,SG,25,GSW,42,0,14.0,2.5,5.2,.489,0.9,2.2,.407,1.7,3.0,.547,.573,0.7,0.9,.737,0.3,1.1,1.4,1.1,0.5,0.1,0.6,1.0,6.6
82,Jordan Clarkson\clarkjo01,SG,24,LAL,48,3,27.4,5.5,12.3,.451,1.3,3.8,.342,4.2,8.5,.500,.504,1.5,1.9,.783,0.7,2.1,2.8,2.1,1.3,0.1,1.9,1.8,13.9
83,Darren Collison\collida01,PG,29,SAC,36,32,29.2,4.6,9.8,.467,1.1,2.7,.396,3.5,7.1,.494,.521,2.1,2.5,.846,0.4,1.6,2.1,4.2,0.9,0.1,1.5,1.7,12.4
84,Nick Collison\collini01,PF,36,OKC,11,0,5.9,0.5,0.9,.600,0.0,0.0,,0.5,0.9,.600,.600,0.2,0.3,.667,0.3,0.7,1.0,0.6,0.1,0.1,0.2,0.6,1.3
85,Mike Conley\conlemi01,PG,29,MEM,34,33,32.4,6.2,14.2,.438,2.3,5.7,.404,3.9,8.5,.460,.519,4.1,4.8,.860,0.6,3.3,3.8,6.2,1.3,0.4,2.3,1.9,18.9
86,Pat Connaughton\connapa01,SG,24,POR,20,0,5.9,0.6,1.0,.550,0.2,0.4,.429,0.4,0.7,.615,.625,0.2,0.3,.667,0.2,0.7,0.9,0.5,0.1,0.1,0.1,0.4,1.5
87,DeMarcus Cousins\couside01,C,26,SAC,43,43,34.5,9.3,20.6,.452,1.8,4.7,.374,7.6,15.9,.475,.495,7.5,9.7,.775,2.0,8.2,10.2,4.3,1.4,1.4,3.4,3.7,28.0
88,Robert Covington\covinro01,SF,26,PHI,39,39,30.2,3.6,9.8,.372,1.8,5.9,.309,1.8,3.9,.467,.465,1.6,2.0,.795,1.3,4.5,5.8,1.5,1.6,0.8,1.9,2.9,10.7
